Kilo Meter,ownerNo,modelYear,price,Registration Year,Fuel Type,Seats,Engine Displacement,Transmission,Year of Manufacture,Mileage,No of Cylinder,Valves per Cylinder,Max Power(bhp),Max Torque(Nm),Build Type_Hatchback,Build Type_MUV,Build Type_SUV,Build Type_Sedan,OEM_Chevrolet,OEM_Datsun,OEM_Ford,OEM_Honda,OEM_Hyundai,OEM_Kia,OEM_MG,OEM_Mahindra,OEM_Maruti,OEM_Nissan,OEM_Renault,OEM_Skoda,OEM_Tata,OEM_Toyota,OEM_Volkswagen,Insurance Validity_Comprehensive,Insurance Validity_Not Available,Insurance Validity_Third Party insurance,Insurance Validity_Zero Dep
1219,2,2008,1,2008,0,5,1798,0,2008,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
858,2,2008,2,2008,0,5,1596,0,2008,15,4,4,101,146,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1149,1,2008,2,2008,0,5,1599,0,2008,13,4,4,103,146,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1038,2,2008,1,2008,0,5,1086,0,2008,17,3,4,62,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
916,1,2008,1,2011,0,5,998,0,2008,21,3,4,67,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1101,2,2008,1,2008,0,5,796,0,2008,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
704,1,2008,2,2008,0,5,1197,0,2008,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
997,3,2008,3,2009,0,5,1798,0,2008,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1161,2,2008,1,2008,0,5,796,0,2008,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1038,2,2008,1,2008,0,5,1341,0,2008,14,4,3,82,115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
865,1,2008,1,2008,0,5,998,0,2008,21,3,4,67,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
971,2,2008,2,2008,0,5,1799,0,2008,13,4,4,130,172,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,2,2008,2,2008,0,5,1799,0,2008,13,4,4,130,172,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
827,1,2008,2,2008,0,5,1197,0,2008,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
447,2,2008,1,2008,0,5,796,0,2008,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1219,1,2008,1,2008,0,5,1497,0,2008,17,4,2,78,124,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
827,1,2008,1,2008,0,5,1495,0,2008,13,4,3,94,122,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
827,2,2008,1,2008,0,5,1197,0,2008,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1219,4,2008,3,2008,0,5,1798,0,2008,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1380,2,2008,2,2008,0,5,796,0,2008,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
447,1,2008,1,2008,0,5,796,0,2008,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
747,1,2008,2,2008,0,5,1298,0,2008,16,4,4,88,112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
827,1,2008,1,2008,0,5,1399,0,2008,14,4,4,94,126,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
747,1,2008,1,2008,0,5,1086,0,2008,19,4,3,68,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
827,3,2008,1,2008,0,5,1799,1,2008,12,4,4,130,172,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
998,2,2008,1,2008,0,5,1497,0,2008,17,4,2,78,124,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
971,3,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,3,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
747,1,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
902,2,2009,2,2009,0,5,1197,1,2009,19,4,4,80,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659,1,2009,2,2009,0,5,1086,0,2009,17,3,4,62,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
659,1,2009,2,2009,0,5,1086,0,2009,17,3,4,62,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1219,2,2009,3,2009,1,5,1248,0,2009,19,4,4,73,190,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1038,2,2009,2,2009,0,5,1298,0,2009,16,4,4,88,112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
827,1,2009,2,2009,0,5,1495,0,2009,13,4,3,94,122,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1101,5,2009,1,2009,1,5,1399,0,2009,17,4,2,68,159,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1038,5,2009,2,2009,0,5,1197,0,2009,17,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
747,1,2009,2,2009,0,5,796,0,2009,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1038,3,2009,3,2009,0,5,1497,1,2009,16,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
902,3,2009,1,2009,0,5,995,0,2009,18,4,2,62,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
862,2,2009,3,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1380,1,2009,2,2009,1,5,1248,0,2009,19,4,4,73,190,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
971,2,2009,1,2009,0,5,1396,0,2009,14,4,2,65,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
902,3,2009,2,2009,0,5,1197,0,2009,17,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
949,2,2009,2,2009,0,5,1197,0,2009,21,4,4,85,114,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1065,1,2009,1,2009,0,5,1086,0,2009,17,3,4,62,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
704,1,2009,2,2009,0,5,1086,0,2009,19,4,3,68,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
992,3,2009,2,2009,0,5,1197,0,2009,18,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
747,1,2009,3,2009,0,5,1794,1,2009,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1038,2,2009,1,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,2,2009,1,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
827,1,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
561,1,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,3,2009,1,2009,0,5,1497,0,2009,17,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,1,2009,1,2009,0,5,1495,0,2009,16,4,3,93,124,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1101,3,2009,1,2009,0,5,1298,0,2009,16,4,4,88,112,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
902,3,2009,1,2009,0,5,1198,0,2009,16,4,4,90,110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,3,2009,1,2009,0,5,1497,0,2009,17,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1161,3,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1101,3,2009,1,2009,0,5,1798,0,2009,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1038,3,2009,1,2009,0,5,1497,0,2009,17,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
985,2,2009,2,2009,0,5,1497,0,2009,17,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1161,3,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
971,2,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
659,1,2009,2,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1178,1,2009,2,2009,0,5,1086,0,2009,19,4,3,68,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
754,2,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
902,1,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
930,1,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,3,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
958,1,2009,3,2009,0,5,1497,0,2009,16,4,4,116,146,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1219,2,2009,2,2009,1,5,1248,0,2009,17,4,4,73,190,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1219,2,2009,2,2009,1,5,1248,0,2009,17,4,4,73,190,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
827,2,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
902,1,2009,1,2009,0,5,995,0,2009,16,4,2,63,90,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
747,1,2009,1,2009,0,5,1086,0,2009,17,3,4,62,96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
971,2,2009,1,2009,0,5,1586,0,2009,15,4,4,103,145,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1038,4,2009,1,2009,0,5,796,0,2009,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1101,2,2009,1,2009,0,5,796,0,2009,19,3,4,46,62,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
561,2,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
771,1,2009,2,2009,0,5,1197,0,2009,20,4,4,78,111,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
679,1,2009,1,2009,0,5,1061,0,2009,18,3,4,67,84,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
810,1,2009,3,2009,0,5,1794,1,2009,14,4,4,138,173,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
830,1,2009,3,2013,0,5,998,0,2009,21,3,4,67,90,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
