,Max Torque,Max Torque(Nm)
3749,360Nm@1750-2800rpm,360.0
3750,113Nm@4200rpm,113.0
3751,280Nm@3000-4000rpm,280.0
3752,190Nm@2000rpm,190.0
3754,113Nm@4200rpm,113.0
3755,109Nm@4500rpm,109.0
3756,385Nm@1600-2500rpm,385.0
3757,113Nm@4400rpm,113.0
3758,113Nm@3300rpm,113.0
3759,500Nm@1600-1800rpm,500.0
3760,115Nm@4000rpm,115.0
3761,470Nm@1750-2500rpm,470.0
3762,113Nm@4200rpm,113.0
3763,300Nm@1200-1400rpm,300.0
3764,140Nm@4200rpm,140.0
3765,134Nm@4000rpm,134.0
3767,145Nm@4600rpm,145.0
3768,113.76nm@4000rpm,113.76
3769,138Nm@4400rpm,138.0
3770,148Nm@4000rpm,148.0
3771,134Nm@4000rpm,134.0
3772,219.7Nm@1500-2750rpm,219.7
3773,114Nm@4000rpm,114.0
3774,113.75nm@4000rpm,113.75
3775,109Nm@4500rpm,109.0
3776,98.5Nm@4300rpm,98.5
3777,250Nm@1750-2500rpm,250.0
3778,360Nm@1750-2800rpm,360.0
3779,250Nm@1750-2500rpm,250.0
3780,114.7Nm@4000rpm,114.7
3781,115Nm@3500-3600rpm,115.0
3782,190Nm@2000rpm,190.0
3783,150Nm@4500rpm,150.0
3784,84Nm@3500rpm,84.0
3785,150Nm@4500rpm,150.0
3786,320Nm@1700-2700rpm,320.0
3787,450Nm@1600-2400rpm,450.0
3788,171.6Nm@4300rpm,171.6
3789,171.6Nm@4300rpm,171.6
3790,117nm@4000rpm,117.0
3791,380Nm@1750-2500rpm,380.0
3792,138nm@4400rpm,138.0
3793,190Nm@2000rpm,190.0
3794,140Nm@4400rpm,140.0
3795,115Nm@4000rpm,115.0
3796,330Nm@1600-2800rpm,330.0
3797,115Nm@4000rpm,115.0
3798,114.7Nm@4000rpm,114.7
3799,96.1Nm@3000rpm,96.1
3800,90Nm@3500rpm,90.0
3801,90Nm@3500rpm,90.0
3802,115Nm@4000rpm,115.0
3803,320Nm@1600-2800rpm,320.0
3804,"11.5@4,500 (kgm@rpm)",112.7
3805,109Nm@4500rpm,109.0
3806,145Nm@4600rpm,145.0
3807,78Nm@3500rpm,78.0
3808,200Nm@1750rpm,200.0
3809,250Nm@1500-2750rpm,250.0
3810,170Nm@1750-4000rpm,170.0
3812,143.8Nm@4500rpm,143.8
3813,259.9Nm@1900-2750rpm,259.9
3814,115Nm@4000rpm,115.0
3815,113.75nm@4000rpm,113.75
3816,175Nm@1500-4100rpm,175.0
3817,151Nm@4850rpm,151.0
3818,113.75nm@4000rpm,113.75
3819,215Nm@1750-2500rpm,215.0
3820,115Nm@4000rpm,115.0
3821,240Nm@1600-2800rpm,240.0
3822,113.75nm@4000rpm,113.75
3823,380Nm@1750-2500rpm,380.0
3824,140Nm@4200rpm,140.0
3825,113Nm@4200rpm,113.0
3826,259.87nm@1500-3000rpm,259.87
3827,250Nm@1600-3600rpm,250.0
3828,110Nm@4800rpm,110.0
3829,138Nm@4400rpm,138.0
3830,130Nm@4000rpm,130.0
3831,78Nm@3500rpm,78.0
3832,400Nm@1400-2800rpm,400.0
3833,330Nm@1600-2800rpm,330.0
3834,114Nm@4000rpm,114.0
3835,113Nm@4200rpm,113.0
3836,114.7Nm@4000rpm,114.7
3837,153Nm@3750-3800rpm,153.0
3838,113Nm@3300rpm,113.0
3839,114Nm@4000rpm,114.0
3840,132Nm@3000rpm,132.0
3841,250Nm@1500-4500rpm,250.0
3842,151Nm@4850rpm,151.0
3843,115Nm@4000rpm,115.0
3844,145Nm@4600rpm,145.0
3845,98Nm@4000rpm,98.0
3846,130Nm@4000rpm,130.0
3847,99.04Nm@4500rpm,99.04
3848,145Nm@4600rpm,145.0
3849,144nm@4500rpm,144.0
3850,90Nm@3500rpm,90.0
3851,114Nm@4000rpm,114.0
3852,115Nm@4000rpm,115.0
3853,154.9Nm@4200rpm,154.9
3854,114.73Nm@4000rpm,114.73
3855,113Nm@4400rpm,113.0
3856,113Nm@4200rpm,113.0
3857,138Nm@4400rpm,138.0
3858,440Nm@1750-2750rpm,440.0
3859,113.75nm@4000rpm,113.75
3860,110Nm@4800rpm,110.0
3861,110 (11.2) @ 4800,110.0
3862,140Nm@4400rpm,140.0
3863,110Nm@4800rpm,110.0
3864,114Nm@3500rpm,114.0
3865,146Nm at 4800 rpm,146.0
3866,200Nm@1750rpm,200.0
3867,84Nm@3500rpm,84.0
3868,219.66nm@1500-2750rpm,219.66
3869,84Nm@3500rpm,84.0
3871,90Nm@3500rpm,90.0
3872,140Nm@1500-5500rpm,140.0
3873,173Nm@4000rpm,173.0
3874,90Nm@3500rpm,90.0
3875,130Nm@4000rpm,130.0
3876,300Nm@1200-4000rpm,300.0
3877,113Nm@4200rpm,113.0
3878,116Nm@4750rpm,116.0
3879,113.75nm@4000rpm,113.75
3880,114Nm@3500rpm,114.0
3881,110Nm@4800rpm,110.0
3882,360Nm@1400-2600rpm,360.0
3883,90Nm@3500rpm,90.0
3884,113Nm@4200rpm,113.0
3885,173Nm@4000rpm,173.0
3886,160Nm@2000rpm,160.0
3887,90Nm@3500rpm,90.0
3888,115Nm@3500-3600rpm,115.0
3889,200Nm@1750rpm,200.0
3890,173Nm@4000rpm,173.0
3891,115Nm@4000rpm,115.0
3892,114.7Nm@4000rpm,114.7
3893,380Nm@1750-2500rpm,380.0
